ESSID,SpeedTouchFB4E32,
Mac Address,00:90:D0:EC:67:C6,
Channel,6,
AP position,206,100
Authorization,yes,
signal level,X-coordinate,Y-coordinate
-30.6,279,197
-32.9,366,199
-33.9,232,274
-36.4,180,277
-37.2,325,238
-39,229,149
-39.1,364,285
-39.2,74,193
-39.4,236,242
-39.6,410,153
-40.2,364,238
-40.8,408,236
-40.9,364,152
-41.3,278,153
-41.8,173,5
-42,324,197
-42.7,456,199
-42.9,277,239
-43.5,272,52
-44.4,75,7
-44.4,118,239
-45,329,154
-45.3,326,115
-45.8,268,5
-45.9,408,195
-46,180,197
-46.7,210,7
-46.9,230,101
-47,115,143
-47.1,234,195
-47.5,337,59
-47.5,173,46
-47.8,182,238
-48.1,273,112
-48.1,72,143
-48.4,455,155
-48.8,74,230
-49,539,157
-49.4,115,44
-49.6,119,196
-49.7,77,89
-50.2,361,111
-50.7,177,148
-50.8,277,279
-51.1,373,6
-51.3,417,8
-51.9,329,286
-52.5,116,4
-52.9,421,67
-53.1,498,201
-53.5,497,110
-53.6,175,89
-53.8,218,52
-53.8,372,64
